Condition,Distance_km,Frequency_GHz,Bandwidth_MHz,Modulation,TxPower_dBm,Gain_dBi,RSSI_dBm,SNR_dB,BER,Availability_percent,Etat
Pluie_Rural,18.87,13,224,BPSK,21.73,29.4,6.2,15.94,0.000187680596459944,99.48,Dégradé
Pluie_Rural,1.41,23,224,BPSK,17.02,20.29,23.56,32.2,1.16873016356354E-07,90.84,OK
Pluie_Rural,40.86,38,28,8PSK,24.15,33.65,-26.59,0,0.0513646388638044,99.9,KO
Pluie_Rural,17.34,38,224,BPSK,22.44,28.1,10.62,15.37,0.000125726454912969,99.01,Dégradé
Pluie_Rural,9.64,18,112,64-QAM,22.96,27.85,21.03,23.09,6.07777062386658E-07,95.42,OK
Pluie_Rural,31.06,38,112,8PSK,26.71,33.83,-5.51,1.25,0.199588124486947,99.73,KO
Pluie_Rural,9.32,6,14,QPSK,21.43,29.87,20.98,25.62,4.61939509734455E-07,96.37,OK
Pluie_Rural,23.92,11,14,16-QAM,25.77,37.81,1.97,4.49,0.0604393782754724,99.94,KO
Pluie_Rural,42.19,32,112,BPSK,25.85,31.39,-29.11,0,0.0463864505258053,99.55,KO
Pluie_Rural,30.36,18,14,BPSK,26.58,34.21,-10.78,0,0.0902217813143126,99.41,KO
Pluie_Rural,6.79,6,112,16-QAM,23.56,25.27,29.91,36.25,2.14804421401887E-07,99.52,OK
Pluie_Rural,8.62,11,224,8PSK,23.41,26.46,23.73,26.45,9.68291278880942E-07,99.6,OK
Pluie_Rural,19.55,32,14,QPSK,21.5,29.93,0.72,5.42,0.0286860015326075,99.91,KO
Pluie_Rural,33.31,11,56,16-QAM,24.03,30.56,-18.89,0,0.127952164205982,99.3,KO
Pluie_Rural,46.75,32,112,8PSK,24.21,33.76,-37.61,0,0.0760662464916153,99.65,KO
Pluie_Rural,9.18,23,56,8PSK,22.23,28.14,19.82,25.45,8.41492390210298E-07,99.94,OK
Pluie_Rural,22.16,4,112,BPSK,25.11,33.22,13.07,23.02,9.27463191231995E-08,99.86,OK
Pluie_Rural,13.01,32,14,8PSK,20.08,28.83,20.08,26.48,7.25949152501599E-08,99.72,OK
Pluie_Rural,42.89,26,28,8PSK,24.4,31.02,-32.78,0,0.148181784244277,99.67,KO
Pluie_Rural,19.44,4,112,64-QAM,22.28,25.31,0.96,3.37,0.035207683440712,99.87,KO
Pluie_Rural,36.07,26,224,16-QAM,25.43,31.86,-15.67,0,0.0120110737561559,99.94,KO
Pluie_Rural,15.93,13,14,64-QAM,22.49,28.27,5.92,10.92,0.00072845505601919,92.33,Dégradé
Pluie_Rural,49.49,8,56,16-QAM,25.45,37.83,-41.97,0,0.16907488347349,99.85,KO
Pluie_Rural,22.62,38,224,8PSK,25.74,38.95,15.48,25.05,8.10970962048012E-07,99.85,OK
Pluie_Rural,44.2,6,14,8PSK,24.63,33.46,-35.51,0,0.174501288720908,99.79,KO
Pluie_Rural,36.85,26,14,16-QAM,25.19,37.41,-11.87,0,0.0713408189508542,99.68,KO
Pluie_Rural,49.77,38,56,8PSK,26.92,36.43,-41.81,0,0.0363835655582719,99.58,KO
Pluie_Rural,22.89,4,224,8PSK,25.97,36.66,12.37,21.48,2.03581352822663E-06,99.79,Dégradé
Pluie_Rural,21.72,8,14,8PSK,24.02,30.54,9.54,14.78,0.000464479302274045,99.62,Dégradé
Pluie_Rural,5.34,23,56,BPSK,21.22,25.19,25.73,27.97,5.16378291202901E-07,99.53,OK
Pluie_Rural,1.72,80,56,BPSK,18.78,22.88,25.86,27.64,5.37221998707661E-07,99,OK
Pluie_Rural,18.53,13,28,16-QAM,22.85,28.26,7.88,10.52,0.000956429528652768,99.54,Dégradé
Pluie_Rural,43.43,6,56,16-QAM,25.07,36.15,-31.27,0,0.099596065773278,99.58,KO
Pluie_Rural,30.2,38,112,8PSK,25.37,35.89,-5.97,0,0.141178541534075,99.62,KO
Pluie_Rural,1.54,18,112,8PSK,19.32,20.97,23.27,23.85,1.60864925621841E-07,99.27,OK
Pluie_Rural,40.6,26,28,BPSK,24.55,30.7,-32.97,0,0.050883895476409,99.74,KO
Pluie_Rural,45.78,11,28,QPSK,24.33,32.47,-41.28,0,0.00975238369134342,99.64,KO
Pluie_Rural,14.72,8,112,QPSK,21.65,26.68,9.27,18.3,0.000606708197992234,99.24,Dégradé
Pluie_Rural,44.19,32,28,8PSK,26.24,34.61,-29.57,0,0.00450532235745713,99.51,KO
Pluie_Rural,17.45,18,112,8PSK,21.65,27.93,7.55,14.23,0.000743371994575937,99.61,Dégradé
Pluie_Rural,7.36,4,56,32-QAM,20.41,28.53,30.43,39.96,5.4757026245132E-07,99.73,OK
Pluie_Rural,28.49,4,28,QPSK,24.18,35.54,-0.8,7.58,0.133969965616528,99.79,KO
Pluie_Rural,11.23,8,224,QPSK,20.4,28.18,10.42,15.7,0.000681273581493627,94.43,Dégradé
Pluie_Rural,25.61,18,28,BPSK,25.24,31.61,-1.59,5.15,0.130152271093757,99.7,KO
Pluie_Rural,10.11,18,56,32-QAM,20.85,26.71,22.06,28.55,5.09428584810271E-07,99.52,OK
Pluie_Rural,40.15,4,224,16-QAM,24.82,37.85,-22.19,0,0.114903643867604,99.84,KO
Pluie_Rural,12,26,112,QPSK,20.36,29.84,18.94,25.31,5.09461911547166E-07,99.86,OK
Pluie_Rural,2.78,4,28,QPSK,19.16,20.09,29.13,30.52,7.22941793947293E-07,99.99,OK
Pluie_Rural,11.67,26,112,16-QAM,23.72,27.24,16.39,21.16,2.30546220930087E-08,99.26,OK
Pluie_Rural,16.72,4,28,8PSK,23.28,29.4,6.78,10.4,0.000158209231600454,99.85,Dégradé
Pluie_Rural,32.32,23,56,QPSK,26.79,37.5,-6.33,0,0.100176764559801,99.82,KO
Pluie_Rural,1.52,8,28,QPSK,19.27,22.82,35.9,44.94,5.75687939961312E-07,99.95,OK
Pluie_Rural,10.74,38,56,256-QAM,21,28.23,15.37,20,0.000755040904322492,92.43,Dégradé
Pluie_Rural,15.61,6,28,16-QAM,23.08,28.23,16.2,17.17,0.000854989686719999,99.65,Dégradé
Pluie_Rural,7.9,23,224,32-QAM,21.85,26.19,28.07,28.09,1.60971238036572E-07,99.56,OK
Pluie_Rural,37.53,4,14,QPSK,25.41,39.78,-21.19,0,0.0656147089877495,96.54,KO
Pluie_Rural,19.95,32,112,QPSK,21.03,25.66,-2.21,3.99,0.094362123282342,99.4,KO
Pluie_Rural,19.01,26,56,16-QAM,20.33,26.44,4.25,9.25,0.0458651753971753,99.91,KO
Pluie_Rural,35.96,6,112,8PSK,24.98,37.01,-14.11,0,0.152789585481415,99.56,KO
Pluie_Rural,20.19,23,56,QPSK,26.06,37.97,12.35,20.01,1.74211340242508E-06,99.18,Dégradé
Pluie_Rural,49.18,13,28,BPSK,24.6,32.08,-46.29,0,0.180099953552814,99.89,KO
Pluie_Rural,12.17,8,112,16-QAM,22.56,27.7,13.58,21.01,6.18820065282891E-08,91.12,OK
Pluie_Rural,7.48,26,56,8PSK,23.07,29.7,24.07,27.3,3.59558269388401E-07,99.02,OK
Pluie_Rural,8.59,13,28,16-QAM,20.72,26.86,26.94,28.49,7.49798241877279E-07,99.8,OK
Pluie_Rural,37.1,38,28,8PSK,26.38,39.41,-14.38,0,0.0880107428491734,99.75,KO
Pluie_Rural,49.17,18,112,QPSK,26.13,32.15,-44.07,0,0.238361558760929,99.78,KO
Pluie_Rural,45,38,224,8PSK,24.81,32.36,-48.74,0,0.0759026445240404,94.2,KO
Pluie_Rural,26.31,11,14,QPSK,24.04,32.68,-10.51,0,0.0903493091918324,90.31,KO
Pluie_Rural,10.8,38,224,BPSK,20.97,29.36,21.66,30.51,5.88263140642391E-07,99.78,OK
Pluie_Rural,2.56,26,28,32-QAM,17.99,22.34,32.47,40.98,4.47133929740214E-07,99.92,OK
Pluie_Rural,5.55,32,112,BPSK,23.56,29.51,35.47,42.09,5.14828891308196E-07,99.77,OK
Pluie_Rural,42.49,26,224,16-QAM,24.58,39.22,-26.19,0,0.0825769181887728,99.63,KO
Pluie_Rural,44.81,8,224,QPSK,26.77,33.82,-43.5,0,0.127284030354261,99.82,KO
Pluie_Rural,44.17,38,224,BPSK,26.91,32.25,-42.84,0,0.0351160067598481,90.5,KO
Pluie_Rural,3.75,80,28,16-QAM,17.61,23.98,33.02,35.69,1.49931780408547E-07,99.98,OK
Pluie_Rural,44.98,4,28,16-QAM,26.06,31.33,-35.76,0,0.189993752240153,99.91,KO
Pluie_Rural,33.58,38,14,QPSK,25.08,39.77,-6.64,0,0.0152811957639859,99.57,KO
Pluie_Rural,38.79,23,28,BPSK,25.85,32.97,-19.93,0,0.0666737275168319,99.66,KO
Pluie_Rural,1.58,23,224,64-QAM,18.34,22.93,37.37,46.76,8.59027718920953E-07,99.96,OK
Pluie_Rural,22.42,26,56,16-QAM,26,39.94,13.62,13.95,0.00109105175389782,99.64,KO
Pluie_Rural,1.32,23,14,64-QAM,18.47,21,31.7,33.21,8.20464589731177E-07,99.53,OK
Pluie_Rural,47.7,8,28,16-QAM,26.43,33.61,-49.38,0,0.028899705423825,94.9,KO
Pluie_Rural,4.54,38,56,32-QAM,17.77,21.5,24.63,26.64,9.22801914998405E-07,99.62,OK
Pluie_Rural,8.07,26,28,256-QAM,21.81,25.14,23.83,29.59,9.44757609523657E-07,99.83,OK
Pluie_Rural,31.42,6,56,8PSK,25.33,32.9,-13.25,0,0.15171399189894,99.93,KO
Pluie_Rural,9.37,32,112,QPSK,23.14,29.14,28.95,37.04,9.7239116439666E-07,99.46,OK
Pluie_Rural,16.23,26,224,256-QAM,21.95,27.65,16.58,19.98,0.000951048313556226,99.54,Dégradé
Pluie_Rural,46.77,6,224,BPSK,25.65,39.79,-32.73,0,0.228243851932169,99.24,KO
Pluie_Rural,14.94,26,224,8PSK,21.65,28.23,5.43,6.11,0.0928519957189998,99.53,KO
Pluie_Rural,9.13,8,28,32-QAM,22.66,25.07,23.65,23.75,8.52331707098886E-07,99.51,OK
Pluie_Rural,35.61,8,56,BPSK,24.17,38.42,-11.11,0,0.0435602946283851,99.75,KO
Pluie_Rural,23.01,23,56,16-QAM,25.35,36.87,16.06,22.23,1.46189454743511E-07,99.81,OK
Pluie_Urbain,3.18,13,56,16-QAM,17.87,21.65,31.53,31.96,1.06397269306326E-07,99.59,OK
Pluie_Urbain,8.26,38,28,8PSK,20.08,26.1,25.94,35.87,1.20533862544449E-07,99.38,OK
Pluie_Urbain,2.75,18,112,16-QAM,19.2,23.35,33.55,35.87,2.58014715564793E-07,99.97,OK
Pluie_Urbain,1.54,8,14,BPSK,18.99,23.94,33.21,41.95,6.97217655566429E-07,100,OK
Pluie_Urbain,15.63,26,56,8PSK,23.95,25.65,13.02,20.11,7.85267622939562E-07,99.59,OK
Pluie_Urbain,37.58,8,112,BPSK,24.17,32.1,-23.81,0,0.0571280754503373,99.28,KO
Pluie_Urbain,35.87,18,112,QPSK,25.2,36.77,-15.22,0,0.0151652579768091,99.71,KO
Pluie_Urbain,45.48,23,112,QPSK,24.53,35.2,-36.91,0,0.100862439106464,99.74,KO
Pluie_Urbain,5.58,38,112,QPSK,23.84,25.02,27.38,33.59,8.36795271459767E-07,99.91,OK
Pluie_Urbain,20.56,26,224,QPSK,24.49,32.33,7.25,7.88,0.0755662909566914,99.02,KO
Pluie_Urbain,15.7,38,28,QPSK,23.39,29.79,16.69,22.87,9.95874093208314E-07,99.22,OK
Pluie_Urbain,8.1,11,56,64-QAM,23.16,28.11,29.02,35.97,5.39681193343863E-07,99.79,OK
Pluie_Urbain,21.59,11,28,BPSK,26.87,32.38,13.8,22.94,4.84835026680616E-07,99.65,OK
Pluie_Urbain,43.53,11,56,8PSK,24.53,36.01,-30.28,0,0.0526762312002304,99.4,KO
Pluie_Urbain,37.62,38,224,BPSK,26.31,39.08,-18.05,0,0.181349772886733,99.86,KO
Pluie_Urbain,22.49,38,14,16-QAM,25.69,35.59,14.83,24.66,2.21264057820035E-07,99.52,OK
Pluie_Urbain,33.17,4,56,BPSK,26.51,30.41,-22.81,0,0.0334867877010839,99.45,KO
Pluie_Urbain,33.85,18,14,QPSK,24.8,34.27,-13.07,0,0.134225747284607,99.4,KO
Pluie_Urbain,48.11,11,56,QPSK,26.27,36.3,-46.76,0,0.0210804695055977,90.57,KO
Pluie_Urbain,42.3,11,28,BPSK,26.63,33.03,-27.51,0,0.0276563465581296,99.72,KO
Pluie_Urbain,40.93,11,224,QPSK,25.68,39.06,-20.81,0,0.0178312155122981,99.7,KO
Pluie_Urbain,41.81,26,112,8PSK,25.41,31.44,-42.18,0,0.0729511990463919,97.76,KO
Pluie_Urbain,7.98,18,56,BPSK,22.13,27.21,24.55,32.49,8.25192377118125E-08,99.66,OK
Pluie_Urbain,0.65,6,56,BPSK,18,23.8,34.83,35.07,3.68430464351912E-07,99.96,OK
Pluie_Urbain,17.28,23,112,8PSK,23.8,26.9,11.04,19.65,0.000947831365825822,99.22,Dégradé
Pluie_Urbain,45.38,26,14,16-QAM,26.13,37.77,-41.76,0,0.0164548289446071,99.49,KO
Pluie_Urbain,14.89,23,112,QPSK,22.64,28.08,7.7,15.79,0.000945813915657288,94.25,Dégradé
Pluie_Urbain,28.92,23,28,16-QAM,24.29,32.89,-10.89,0,0.0689646633545204,99.27,KO
Pluie_Urbain,25.53,38,56,BPSK,26.39,38.35,8.48,9.16,0.140029848964893,99.65,KO
Pluie_Urbain,7.8,8,112,BPSK,21.08,27.16,29.31,35.55,1.00593368214971E-07,99.74,OK
Pluie_Urbain,21.51,4,28,BPSK,24.71,35.4,7.36,15.14,0.00106358943775264,99.16,KO
Pluie_Urbain,17.06,4,28,16-QAM,20.81,29.99,11.05,11.95,5.80201686195418E-05,99.1,Dégradé
Pluie_Urbain,8.67,18,224,BPSK,22.92,27.37,18.08,23.72,5.67862755495341E-07,99.52,OK
Pluie_Urbain,2.69,32,112,QPSK,19.28,22.02,27.44,27.74,2.55200081718018E-07,99.73,OK
Pluie_Urbain,16.27,18,224,256-QAM,20.28,26.48,-0.82,2.41,0.0598004124794579,93.98,KO
Pluie_Urbain,29.71,8,112,QPSK,26.28,30.71,-13.91,0,0.00601704458302203,96.57,KO
Pluie_Urbain,24.35,4,28,8PSK,26.14,37.04,2.97,5.08,0.0413168840261592,99.85,KO
Pluie_Urbain,8.95,38,224,8PSK,22.3,26.23,23.85,29.93,7.5490092028984E-07,99.51,OK
Pluie_Urbain,4.44,23,224,32-QAM,17.88,22.97,27.03,32.74,6.55049939758609E-07,99.83,OK
Pluie_Urbain,0.81,8,28,64-QAM,19.21,24.48,41.74,42.05,8.05552582593766E-07,99.97,OK
Pluie_Urbain,15.11,8,28,32-QAM,22.77,26.68,8.43,13.62,0.000809588644572744,90.86,Dégradé
Pluie_Urbain,17.99,4,112,32-QAM,21.43,25.63,5.37,9.43,0.0825308343067722,99.91,KO
Pluie_Urbain,28.37,6,56,16-QAM,26.21,38.95,-2.46,7.2,0.0618325994735862,99.35,KO
Pluie_Urbain,45.82,38,14,8PSK,25.46,30.55,-48.62,0,0.0411617362922325,93.09,KO
Pluie_Urbain,22.06,38,56,QPSK,26.03,31.55,9.66,14.65,0.000626624895795841,99.85,Dégradé
Pluie_Urbain,21.62,13,14,BPSK,26.52,36.23,10.27,18.32,0.000204760796462256,99.23,Dégradé
Pluie_Urbain,4,70,14,16-QAM,19.93,21.31,29.18,37.75,8.52102494951128E-07,99.98,OK
Pluie_Urbain,21.8,11,28,QPSK,24.39,32.9,1.32,5.47,0.00285021576053714,92.31,KO
Pluie_Urbain,16.71,11,28,64-QAM,21.22,25.83,7.56,10.67,0.000138479432910871,99.67,Dégradé
Pluie_Urbain,19.29,13,28,BPSK,21.31,26.93,7.66,11.37,0.000531520481416764,99.67,Dégradé
Pluie_Urbain,33.46,18,14,QPSK,26.17,37.67,-15.25,0,0.0447762961765449,99.87,KO
Pluie_Urbain,38.39,23,14,QPSK,24.38,37.23,-19.55,0,0.0564260816998667,99.31,KO
Pluie_Urbain,0.74,18,14,16-QAM,19.78,22.62,38.49,39.82,1.9308524493419E-07,99.94,OK
Pluie_Urbain,25.24,6,14,16-QAM,24.28,30.51,3.49,7.53,0.0281241430344956,99.6,KO
Pluie_Urbain,47.6,23,56,8PSK,26.63,39.46,-31.02,0,0.028756331209285,99.68,KO
Pluie_Urbain,47.34,23,112,QPSK,25.58,35.46,-49.22,0,0.0179736036052916,99.15,KO
Pluie_Urbain,45.24,13,28,16-QAM,26.04,39.32,-40.44,0,0.0143638320774831,93.08,KO
Pluie_Urbain,44.44,18,112,BPSK,26.77,31.71,-35.76,0,0.090170245022881,99.18,KO
Pluie_Urbain,26.19,11,112,QPSK,25.36,31.94,1.39,11.3,0.000975546876498202,99.81,Dégradé
Pluie_Urbain,34.63,4,14,16-QAM,26.82,36.55,-20.16,0,0.0833720650630832,91.92,KO
Pluie_Urbain,20.06,32,112,8PSK,26.53,36.16,8.65,13.32,0.000533669939761945,99.51,Dégradé
Pluie_Urbain,45.45,8,224,16-QAM,26.71,34.92,-36.3,0,0.156541868559315,99.53,KO
Pluie_Urbain,32.97,38,28,16-QAM,25.89,34.04,-11.09,0,0.149326443997346,99.85,KO
Pluie_Urbain,38.42,23,56,16-QAM,26.4,36.62,-27.09,0,0.0215903473347119,99.2,KO
Pluie_Urbain,38.28,26,112,QPSK,24.43,35.63,-28.21,0,0.17232258300832,99.15,KO
Pluie_Urbain,37.07,11,14,QPSK,26.62,33.36,-22.07,0,0.0480706335772194,99.47,KO
Pluie_Urbain,27.51,26,56,16-QAM,26.01,38.5,-3.39,0,0.152969537310621,99.27,KO
Pluie_Urbain,30.17,11,56,BPSK,24.95,32.4,-14.66,0,0.0977157019824473,97.61,KO
Pluie_Urbain,28.96,38,224,BPSK,24.71,31.16,-17.38,0,0.0681896461135612,90.63,KO
Pluie_Urbain,14.4,23,56,8PSK,23.46,27.06,6.19,7.09,0.0286132323804603,94.82,KO
Pluie_Urbain,13.8,26,224,BPSK,23.36,28.55,19.46,21.7,6.47982720078881E-07,99.69,OK
Pluie_Urbain,11.36,13,28,16-QAM,22.42,27.08,15.83,18.53,0.0002079609721623,99.62,Dégradé
Pluie_Urbain,39.39,6,14,16-QAM,25.61,36.99,-19.74,0,0.278324002624181,99.22,KO
Pluie_Urbain,16.91,11,224,BPSK,21.57,29.29,5.58,15.3,0.000415081511962061,99.71,Dégradé
Pluie_Urbain,33.75,4,224,BPSK,25.5,37.84,-12.4,0,0.102697058523266,99.32,KO
Pluie_Urbain,48.16,38,28,QPSK,24.26,30.65,-44.89,0,0.0274603347182428,99.91,KO
Pluie_Urbain,4.93,4,56,256-QAM,18.83,23.99,31.1,38.35,6.06447067725786E-08,99.99,OK
Pluie_Urbain,31.47,11,112,BPSK,26.74,35.15,-1.44,1.9,0.0774403929557913,99.78,KO
Pluie_Urbain,46.86,32,14,QPSK,25.96,35.18,-36.77,0,0.04467103045904,99.9,KO
Pluie_Urbain,16.9,4,224,256-QAM,21.76,26.09,13.02,16.66,6.16879069002891E-05,99.56,Dégradé
Pluie_Urbain,11.16,8,14,16-QAM,20.1,28.01,11.64,19.44,0.000629618913068299,99.92,Dégradé
Pluie_Urbain,24.91,8,56,8PSK,26.53,38.09,12.16,16.02,0.000575053847087787,99.91,Dégradé
Pluie_Urbain,23.58,8,224,8PSK,25.37,36.88,14.38,21.59,3.45530182373896E-07,99.64,OK
Pluie_Urbain,31.55,32,224,BPSK,24.21,35.91,-6.95,0,0.0537529597211212,99.17,KO
Pluie_Urbain,8.37,26,224,64-QAM,20.97,25.77,29.43,33.88,3.30849047742626E-07,99.72,OK
Pluie_Urbain,47.77,38,56,16-QAM,26.72,34.8,-34.88,0,0.0961654677969882,99.91,KO
Pluie_Urbain,12.65,8,112,64-QAM,23.97,28.51,19.42,23.77,3.7409390441756E-07,99.93,OK
Pluie_Urbain,44.21,26,14,BPSK,25.75,37.84,-38.85,0,0.0828336783553206,92.56,KO
Pluie_Urbain,11.46,32,14,256-QAM,23.35,29.37,28.31,31.35,4.09166060790967E-07,99.89,OK
Pluie_Urbain,9.54,32,14,QPSK,20.07,26.92,21.35,30.18,1.99925442509119E-07,99.09,OK
Pluie_Urbain,20.49,6,14,QPSK,25.49,36.74,5.26,9.42,0.0400887958895879,93.1,KO
Pluie_Urbain,18.33,6,14,QPSK,23.7,25.15,-1.18,7.65,0.0756334788681402,99.72,KO
Pluie_Urbain,6.79,4,112,8PSK,20.97,27.25,31.35,35.12,1.68065827878993E-07,99.73,OK
Pluie_Urbain,30.78,6,14,BPSK,24,34.2,-7.37,0,0.029626608165599,99.65,KO
Pluie_Urbain,42.32,8,56,BPSK,24.4,30.18,-34.29,0,0.254282912720908,99.25,KO
Pluie_Urbain,33.81,11,56,QPSK,25.57,37.32,-14.29,0,0.196087375982089,99.54,KO
Pluie_Urbain,41.24,6,224,BPSK,25.33,34.18,-28.11,0,0.233652136907666,99.56,KO
Pluie_Urbain,3.2,13,112,16-QAM,17.33,21.71,27.94,35.74,8.87208403602424E-07,99.99,OK
Pluie_Urbain,38.07,6,224,QPSK,24.05,35.28,-26.86,0,0.0921225600543013,99.47,KO
Pluie_Urbain,23.88,11,28,16-QAM,26.75,38.88,16.81,21.38,6.26628140868776E-07,99.97,OK
Pluie_Urbain,12.65,23,56,8PSK,21.12,26.87,11.1,12.28,0.000155312785063904,99.08,Dégradé
Pluie_Urbain,37.19,6,112,16-QAM,26.6,31.47,-22.6,0,0.0751905135977187,99.73,KO
Pluie_Urbain,4.59,18,224,64-QAM,17.42,20.8,22.42,22.47,1.68765520508656E-08,99.77,OK
Pluie_Urbain,5.59,18,56,64-QAM,20.89,26.7,25.24,33.37,3.27846772860899E-07,94.77,OK
Pluie_Urbain,43.4,11,14,QPSK,26.5,38.58,-32.59,0,0.00297443740681904,94.63,KO
Pluie_Urbain,22.93,8,224,BPSK,24.14,30.66,-1.59,6.44,0.0543751772982979,99.18,KO
Pluie_Urbain,4.07,18,56,256-QAM,17.04,21.72,25.69,32.86,7.55803051868954E-08,99.58,OK
Pluie_Urbain,3.47,70,224,256-QAM,17.21,21.53,25.58,29.2,3.01010083727345E-07,99.74,OK
Pluie_Urbain,22.9,6,14,BPSK,26.75,34.3,10.91,11.42,0.00150959720568074,99.03,KO
Pluie_Urbain,31.24,26,112,BPSK,25.13,31.79,-12.05,0,0.142267863715257,99.15,KO
Pluie_Urbain,5.69,13,28,16-QAM,21.29,26.44,31.39,32.29,2.17709545330269E-07,99.88,OK
Pluie_Urbain,48.69,11,56,8PSK,25.03,32.68,-47.16,0,0.177642914642531,99.15,KO
Pluie_Urbain,46.74,4,28,16-QAM,26.02,36.9,-32.45,0,0.0360989388391342,99.87,KO
Pluie_Urbain,45.12,8,112,16-QAM,25.65,36.15,-33.59,0,0.0698858573549622,99.9,KO
Pluie_Urbain,42.57,23,224,QPSK,25.87,39.27,-20.73,0,0.0648743684033524,99.64,KO
Pluie_Urbain,49.5,11,28,QPSK,25.55,31.92,-52.93,0,0.152666151138507,99.26,KO
Pluie_Urbain,39.07,6,224,BPSK,25.66,32.08,-33.97,0,0.0110834091092337,90.25,KO
Pluie_Urbain,21.59,18,224,BPSK,26.3,38.7,15.66,21.48,1.46037894399191E-06,99.89,Dégradé
Pluie_Urbain,39.1,4,112,BPSK,24.13,36.94,-21.74,0,0.131369441435175,99.56,KO
Pluie_Urbain,44.64,32,224,BPSK,25.56,33.14,-35.02,0,0.177012506920784,99.77,KO
Pluie_Urbain,48.08,11,14,BPSK,25.46,36.36,-42.72,0,0.0697977286396247,99.87,KO
Pluie_Urbain,13.54,6,224,8PSK,21.49,29.15,20.64,24.54,5.84150048046364E-07,99.59,OK
Pluie_Urbain,39.88,13,28,QPSK,26.61,33.84,-24.77,0,0.0735022711766274,99.14,KO
Pluie_Urbain,47.8,13,112,16-QAM,24.62,34.19,-49.47,0,0.00832207571283365,99.04,KO
Pluie_Urbain,7.03,26,112,BPSK,21.49,28.37,22.94,23.46,6.71412940239827E-08,95.34,OK
Pluie_Urbain,29.13,26,224,BPSK,26.87,30.14,-6.44,0,0.130009878216178,99.64,KO
Pluie_Urbain,35.03,13,224,QPSK,25.54,32.32,-15.52,0,0.126922377612725,99.72,KO
Pluie_Urbain,3.56,18,28,QPSK,18.84,22.2,20.33,29.21,9.3607445986603E-07,91.14,OK
Pluie_Urbain,11.2,23,28,BPSK,23.62,26.33,11.88,19.99,0.000602836637934565,97.37,Dégradé
Pluie_Urbain,31.34,26,112,QPSK,24.82,30.57,-16.63,0,0.271290677893486,99.59,KO
Pluie_Urbain,24.34,4,224,BPSK,25.6,31.91,-3.34,5.7,0.1829490161223,99.83,KO
Pluie_Urbain,8.17,4,28,8PSK,23.83,26.37,19.78,24.22,4.72631974424341E-07,92.17,OK
Pluie_Urbain,25.33,4,28,8PSK,26.08,34.33,-1.27,0.49,0.190803446042846,99.45,KO
Pluie_Urbain,38.97,26,56,8PSK,26.62,39.86,-12.01,0,0.0616817312899719,99.92,KO
Pluie_Urbain,49.35,13,28,16-QAM,24.1,37.46,-41.25,0,0.161571876613262,99.51,KO
Pluie_Urbain,35.89,13,56,16-QAM,24.84,37.94,-21.23,0,0.0202650867999349,93.12,KO
Pluie_Urbain,25.83,32,28,16-QAM,25.52,33.73,-5.58,0,0.0440976659339408,94.97,KO
Pluie_Urbain,28.98,11,14,16-QAM,26.62,31.56,-2.85,0,0.161032812887498,99.5,KO
Pluie_Urbain,33.98,32,224,QPSK,26.25,36.26,-11.83,0,0.0104054924129633,99.51,KO
Pluie_Urbain,29.37,26,56,BPSK,24.15,31.45,-10.31,0,0.071064876254253,99.75,KO
Pluie_Urbain,12.54,26,56,8PSK,20.28,25.85,15.09,18.65,0.000554747169413857,99.9,Dégradé
Pluie_Urbain,39.52,11,224,8PSK,24.61,33.03,-23.04,0,0.0188591902723036,99.7,KO
Pluie_Urbain,25.06,4,224,BPSK,26.73,31.38,6.2,15.93,0.00030020046041155,99.67,Dégradé
Pluie_Urbain,15.7,4,224,64-QAM,21.8,25.6,11.18,18.24,0.000981566731760499,99.9,Dégradé
Pluie_Urbain,24.12,26,14,16-QAM,26.02,30.78,-1.34,4.44,0.129376936935079,99.18,KO
Pluie_Urbain,48.07,38,14,BPSK,24.48,35.33,-48.89,0,0.0421020793035323,92.18,KO
Pluie_Urbain,32.19,13,112,QPSK,26.57,36.06,-8.61,0,0.0197037657932269,99.9,KO
Pluie_Urbain,4.26,6,28,BPSK,18.81,22.71,29.57,37.88,1.43852612287889E-07,99.97,OK
Pluie_Urbain,19.79,23,112,64-QAM,21.73,26.8,5.15,7.72,0.0705400794312828,99.94,KO
Pluie_Urbain,46,13,28,BPSK,26.29,38.89,-30.45,0,0.108587898053734,99.25,KO
Pluie_Urbain,39.04,26,14,8PSK,24.31,37.06,-21.7,0,0.152124962435599,99.69,KO
Pluie_Urbain,26.85,11,224,16-QAM,26.51,31.18,0.4,1.52,0.0774280938528502,99.66,KO
Pluie_Urbain,35.19,4,56,QPSK,25.63,35.21,-10.5,0,0.0347087585835789,99.79,KO
Pluie_Urbain,34.11,23,28,8PSK,25.14,31.37,-17.95,0,0.0574944156063661,99.48,KO
Pluie_Urbain,12.25,38,14,16-QAM,22.03,29.86,27.32,33.14,5.17454278466415E-07,99.95,OK
Pluie_Urbain,19.06,32,224,16-QAM,21.89,29.49,2.32,8.4,0.0895167958298789,99.55,KO
Pluie_Urbain,14.52,23,28,8PSK,21.11,29.66,9.6,9.7,0.0732198654647177,99.19,KO
Pluie_Urbain,41.85,18,224,8PSK,25.39,34.15,-25.25,0,0.0418033194518715,99.74,KO
Pluie_Urbain,20.9,32,112,16-QAM,24.73,39.51,16.76,23.29,6.76157447278879E-07,99.83,OK
